no_penjualan,nama_barang,harga_barang,jumlah_barang,satuan,sub_total
PJ1641143323,Gorengan Tahu,3500,2,pcs,7000
PJ1641143323,Roti Kopi Vanilla,7000,1,pcs,7000
PJ1641145580,Indomie Goreng,11000,1,pcs,11000
PJ1641145580,Telur,1000,1,pcs,1000
PJ1641145685,Indomie Goreng,11000,1,pcs,11000
PJ1641145685,Aqua,5000,1,pcs,5000
PJ1641146283,Telur,1000,1,pcs,1000
PJ1641146283,Roti Kopi Coklat,7000,1,pcs,7000
PJ1641147058,Roti Coklat Keju,8000,2,pcs,16000
PJ1641147058,Roti Donat,8000,1,pcs,8000
PJ1641147058,Aqua,5000,1,pcs,5000